Names,Age,Team,Position,Roles,Nationality,Market Value (In Millions),Player Profile Link,Name ID,ID,League,Player Image
Nicolás Domínguez,26,Nottingham Forest,Central Midfield,Midfield,Argentina,€17.00m,https://www.transfermarkt.us/nicolas-dominguez/profil/spieler/497291,nicolas-dominguez,497291,Premier League,https://img.a.transfermarkt.technology/portrait/header/497291-1663656746.jpg?lm=1
Ryan Yates,27,Nottingham Forest,Central Midfield,Midfield,England,€12.00m,https://www.transfermarkt.us/ryan-yates/profil/spieler/425902,ryan-yates,425902,Premier League,https://img.a.transfermarkt.technology/portrait/header/425902-1684239778.jpg?lm=1
Morgan Gibbs-White,24,Nottingham Forest,Attacking Midfield,Midfield,England,€40.00m,https://www.transfermarkt.us/morgan-gibbs-white/profil/spieler/429014,morgan-gibbs-white,429014,Premier League,https://img.a.transfermarkt.technology/portrait/header/429014-1687975822.jpg?lm=1
Callum Hudson-Odoi,24,Nottingham Forest,Left Winger,Attack,England,€22.00m,https://www.transfermarkt.us/callum-hudson-odoi/profil/spieler/392768,callum-hudson-odoi,392768,Premier League,https://img.a.transfermarkt.technology/portrait/header/392768-1659969850.png?lm=1
Ramón Sosa,25,Nottingham Forest,Left Winger,Attack,Paraguay,€13.00m,https://www.transfermarkt.us/ramon-sosa/profil/spieler/745191,ramon-sosa,745191,Premier League,https://img.a.transfermarkt.technology/portrait/header/745191-1731056200.jpg?lm=1
Jota Silva,25,Nottingham Forest,Left Winger,Attack,Portugal,€12.00m,https://www.transfermarkt.us/jota-silva/profil/spieler/663244,jota-silva,663244,Premier League,https://img.a.transfermarkt.technology/portrait/header/663244-1731056081.jpg?lm=1
Anthony Elanga,22,Nottingham Forest,Right Winger,Attack,Sweden,€25.00m,https://www.transfermarkt.us/anthony-elanga/profil/spieler/583189,anthony-elanga,583189,Premier League,https://img.a.transfermarkt.technology/portrait/header/583189-1700739021.jpg?lm=1
Eric da Silva Moreira,18,Nottingham Forest,Right Winger,Attack,Germany,€1.00m,https://www.transfermarkt.us/eric-da-silva-moreira/profil/spieler/897481,eric-da-silva-moreira,897481,Premier League,https://img.a.transfermarkt.technology/portrait/header/897481-1701679168.jpg?lm=1
Taiwo Awoniyi,27,Nottingham Forest,Centre-Forward,Attack,Nigeria,€28.00m,https://www.transfermarkt.us/taiwo-awoniyi/profil/spieler/295313,taiwo-awoniyi,295313,Premier League,https://img.a.transfermarkt.technology/portrait/header/295313-1628595124.jpg?lm=1
Chris Wood,32,Nottingham Forest,Centre-Forward,Attack,New Zealand,€7.00m,https://www.transfermarkt.us/chris-wood/profil/spieler/108725,chris-wood,108725,Premier League,https://img.a.transfermarkt.technology/portrait/header/108725-1674209978.jpg?lm=1
Emmanuel Dennis,27,Nottingham Forest,Centre-Forward,Attack,Nigeria,€4.20m,https://www.transfermarkt.us/emmanuel-dennis/profil/spieler/448854,emmanuel-dennis,448854,Premier League,https://img.a.transfermarkt.technology/portrait/header/448854-1695644743.png?lm=1
Aaron Ramsdale,26,Southampton FC,Goalkeeper,Goalkeeper,England,€22.00m,https://www.transfermarkt.us/aaron-ramsdale/profil/spieler/427568,aaron-ramsdale,427568,Premier League,https://img.a.transfermarkt.technology/portrait/header/427568-1681828000.jpg?lm=1
Gavin Bazunu,22,Southampton FC,Goalkeeper,Goalkeeper,Ireland,€15.00m,https://www.transfermarkt.us/gavin-bazunu/profil/spieler/585550,gavin-bazunu,585550,Premier League,https://img.a.transfermarkt.technology/portrait/header/585550-1655476121.jpg?lm=1
Joe Lumley,29,Southampton FC,Goalkeeper,Goalkeeper,England,€0.6m,https://www.transfermarkt.us/joe-lumley/profil/spieler/336367,joe-lumley,336367,Premier League,https://img.a.transfermarkt.technology/portrait/header/336367-1709158388.jpg?lm=1
Alex McCarthy,34,Southampton FC,Goalkeeper,Goalkeeper,England,€0.5m,https://www.transfermarkt.us/alex-mccarthy/profil/spieler/95976,alex-mccarthy,95976,Premier League,https://img.a.transfermarkt.technology/portrait/header/95976-1520416774.jpg?lm=1
Taylor Harwood-Bellis,22,Southampton FC,Centre-Back,Defender,England,€22.00m,https://www.transfermarkt.us/taylor-harwood-bellis/profil/spieler/503977,taylor-harwood-bellis,503977,Premier League,https://img.a.transfermarkt.technology/portrait/header/503977-1687975943.jpg?lm=1
Armel Bella-Kotchap,22,Southampton FC,Centre-Back,Defender,Germany,€12.00m,https://www.transfermarkt.us/armel-bella-kotchap/profil/spieler/467563,armel-bella-kotchap,467563,Premier League,https://img.a.transfermarkt.technology/portrait/header/467563-1663251475.jpg?lm=1
Jan Bednarek,28,Southampton FC,Centre-Back,Defender,Poland,€11.00m,https://www.transfermarkt.us/jan-bednarek/profil/spieler/243028,jan-bednarek,243028,Premier League,https://img.a.transfermarkt.technology/portrait/header/243028-1709158468.jpg?lm=1
Ronnie Edwards,21,Southampton FC,Centre-Back,Defender,England,€3.80m,https://www.transfermarkt.us/ronnie-edwards/profil/spieler/732165,ronnie-edwards,732165,Premier League,https://img.a.transfermarkt.technology/portrait/header/732165-1641462138.jpg?lm=1
Nathan Wood,22,Southampton FC,Centre-Back,Defender,England,€3.80m,https://www.transfermarkt.us/nathan-wood/profil/spieler/503990,nathan-wood,503990,Premier League,https://img.a.transfermarkt.technology/portrait/header/503990-1720788273.jpg?lm=1
Jack Stephens,30,Southampton FC,Centre-Back,Defender,England,€2.00m,https://www.transfermarkt.us/jack-stephens/profil/spieler/163744,jack-stephens,163744,Premier League,https://img.a.transfermarkt.technology/portrait/header/163744-1720190433.jpg?lm=1
Juan Larios,20,Southampton FC,Left-Back,Defender,Spain,€4.50m,https://www.transfermarkt.us/juan-larios/profil/spieler/646738,juan-larios,646738,Premier League,https://img.a.transfermarkt.technology/portrait/header/646738-1662067003.jpg?lm=1
Ryan Manning,28,Southampton FC,Left-Back,Defender,Ireland,€3.00m,https://www.transfermarkt.us/ryan-manning/profil/spieler/262300,ryan-manning,262300,Premier League,https://img.a.transfermarkt.technology/portrait/header/262300-1720192030.jpg?lm=1
Charlie Taylor,31,Southampton FC,Left-Back,Defender,England,€3.00m,https://www.transfermarkt.us/charlie-taylor/profil/spieler/195633,charlie-taylor,195633,Premier League,https://img.a.transfermarkt.technology/portrait/header/195633-1700671881.jpg?lm=1
Kyle Walker-Peters,27,Southampton FC,Right-Back,Defender,England,€20.00m,https://www.transfermarkt.us/kyle-walker-peters/profil/spieler/341051,kyle-walker-peters,341051,Premier League,https://img.a.transfermarkt.technology/portrait/header/341051-1693826850.jpg?lm=1
Yukinari Sugawara,24,Southampton FC,Right-Back,Defender,Japan,€12.00m,https://www.transfermarkt.us/yukinari-sugawara/profil/spieler/405385,yukinari-sugawara,405385,Premier League,https://img.a.transfermarkt.technology/portrait/header/405385-1690965777.jpg?lm=1
James Bree,26,Southampton FC,Right-Back,Defender,England,€2.20m,https://www.transfermarkt.us/james-bree/profil/spieler/324223,james-bree,324223,Premier League,https://img.a.transfermarkt.technology/portrait/header/324223-1720190887.jpg?lm=1
Lesley Ugochukwu,20,Southampton FC,Defensive Midfield,Midfield,France,€25.00m,https://www.transfermarkt.us/lesley-ugochukwu/profil/spieler/711999,lesley-ugochukwu,711999,Premier League,https://img.a.transfermarkt.technology/portrait/header/711999-1666698684.jpg?lm=1
Flynn Downes,25,Southampton FC,Defensive Midfield,Midfield,England,€13.00m,https://www.transfermarkt.us/flynn-downes/profil/spieler/506189,flynn-downes,506189,Premier League,https://img.a.transfermarkt.technology/portrait/header/506189-1659355597.jpg?lm=1
Mateus Fernandes,20,Southampton FC,Central Midfield,Midfield,Portugal,€12.00m,https://www.transfermarkt.us/mateus-fernandes/profil/spieler/880245,mateus-fernandes,880245,Premier League,https://img.a.transfermarkt.technology/portrait/header/880245-1727786403.jpg?lm=1
Joe Aribo,28,Southampton FC,Central Midfield,Midfield,Nigeria,€5.00m,https://www.transfermarkt.us/joe-aribo/profil/spieler/468198,joe-aribo,468198,Premier League,https://img.a.transfermarkt.technology/portrait/header/468198-1656428996.png?lm=1
Will Smallbone,24,Southampton FC,Central Midfield,Midfield,Ireland,€5.00m,https://www.transfermarkt.us/will-smallbone/profil/spieler/444211,will-smallbone,444211,Premier League,https://img.a.transfermarkt.technology/portrait/header/444211-1595844096.jpg?lm=1
Adam Lallana,36,Southampton FC,Attacking Midfield,Midfield,England,€1.00m,https://www.transfermarkt.us/adam-lallana/profil/spieler/43530,adam-lallana,43530,Premier League,https://img.a.transfermarkt.technology/portrait/header/43530-1662663337.jpg?lm=1
Kamaldeen Sulemana,22,Southampton FC,Left Winger,Attack,Ghana,€13.00m,https://www.transfermarkt.us/kamaldeen-sulemana/profil/spieler/746695,kamaldeen-sulemana,746695,Premier League,https://img.a.transfermarkt.technology/portrait/header/746695-1666698770.jpg?lm=1
Maxwel Cornet,28,Southampton FC,Left Winger,Attack,Cote d'Ivoire,€9.00m,https://www.transfermarkt.us/maxwel-cornet/profil/spieler/234781,maxwel-cornet,234781,Premier League,https://img.a.transfermarkt.technology/portrait/header/234781-1663242689.jpg?lm=1
Ryan Fraser,30,Southampton FC,Left Winger,Attack,Scotland,€3.00m,https://www.transfermarkt.us/ryan-fraser/profil/spieler/146795,ryan-fraser,146795,Premier League,https://img.a.transfermarkt.technology/portrait/header/146795-1720190677.jpg?lm=1
Tyler Dibling,18,Southampton FC,Right Winger,Attack,England,€5.00m,https://www.transfermarkt.us/tyler-dibling/profil/spieler/866655,tyler-dibling,866655,Premier League,https://img.a.transfermarkt.technology/portrait/header/866655-1724485194.jpg?lm=1
Samuel Amo-Ameyaw,18,Southampton FC,Right Winger,Attack,England,€0.3m,https://www.transfermarkt.us/samuel-amo-ameyaw/profil/spieler/933900,samuel-amo-ameyaw,933900,Premier League,https://img.a.transfermarkt.technology/portrait/header/933900-1695110050.jpg?lm=1
Adam Armstrong,27,Southampton FC,Centre-Forward,Attack,England,€16.00m,https://www.transfermarkt.us/adam-armstrong/profil/spieler/250426,adam-armstrong,250426,Premier League,https://img.a.transfermarkt.technology/portrait/header/250426-1708002412.jpg?lm=1
Cameron Archer,22,Southampton FC,Centre-Forward,Attack,England,€13.00m,https://www.transfermarkt.us/cameron-archer/profil/spieler/533662,cameron-archer,533662,Premier League,https://img.a.transfermarkt.technology/portrait/header/533662-1641461875.jpg?lm=1
Paul Onuachu,30,Southampton FC,Centre-Forward,Attack,Nigeria,€13.00m,https://www.transfermarkt.us/paul-onuachu/profil/spieler/272855,paul-onuachu,272855,Premier League,https://img.a.transfermarkt.technology/portrait/header/272855-1695672883.png?lm=1
Ben Brereton Díaz,25,Southampton FC,Centre-Forward,Attack,Chile,€8.00m,https://www.transfermarkt.us/ben-brereton-diaz/profil/spieler/426192,ben-brereton-diaz,426192,Premier League,https://img.a.transfermarkt.technology/portrait/header/426192-1684144984.jpg?lm=1
Ross Stewart,28,Southampton FC,Centre-Forward,Attack,Scotland,€4.50m,https://www.transfermarkt.us/ross-stewart/profil/spieler/447995,ross-stewart,447995,Premier League,https://img.a.transfermarkt.technology/portrait/header/447995-1645779367.jpg?lm=1
Guglielmo Vicario,28,Tottenham Hotspur,Goalkeeper,Goalkeeper,Italy,€35.00m,https://www.transfermarkt.us/guglielmo-vicario/profil/spieler/286047,guglielmo-vicario,286047,Premier League,https://img.a.transfermarkt.technology/portrait/header/286047-1725874745.jpg?lm=1
Fraser Forster,36,Tottenham Hotspur,Goalkeeper,Goalkeeper,England,€1.20m,https://www.transfermarkt.us/fraser-forster/profil/spieler/52570,fraser-forster,52570,Premier League,https://img.a.transfermarkt.technology/portrait/header/52570-1676412801.jpg?lm=1
Brandon Austin,25,Tottenham Hotspur,Goalkeeper,Goalkeeper,England,€0.6m,https://www.transfermarkt.us/brandon-austin/profil/spieler/428016,brandon-austin,428016,Premier League,https://img.a.transfermarkt.technology/portrait/header/428016-1618736681.jpg?lm=1
Alfie Whiteman,26,Tottenham Hotspur,Goalkeeper,Goalkeeper,England,€0.5m,https://www.transfermarkt.us/alfie-whiteman/profil/spieler/282823,alfie-whiteman,282823,Premier League,https://img.a.transfermarkt.technology/portrait/header/282823-1595948936.jpg?lm=1
Cristian Romero,26,Tottenham Hotspur,Centre-Back,Defender,Argentina,€65.00m,https://www.transfermarkt.us/cristian-romero/profil/spieler/355915,cristian-romero,355915,Premier League,https://img.a.transfermarkt.technology/portrait/header/355915-1665609429.jpg?lm=1
Micky van de Ven,23,Tottenham Hotspur,Centre-Back,Defender,Netherlands,€55.00m,https://www.transfermarkt.us/micky-van-de-ven/profil/spieler/557459,micky-van-de-ven,557459,Premier League,https://img.a.transfermarkt.technology/portrait/header/557459-1657202743.jpg?lm=1
Radu Drăgușin,22,Tottenham Hotspur,Centre-Back,Defender,Romania,€25.00m,https://www.transfermarkt.us/radu-dragusin/profil/spieler/568559,radu-dragusin,568559,Premier League,https://img.a.transfermarkt.technology/portrait/header/568559-1704716630.jpg?lm=1
Ben Davies,31,Tottenham Hotspur,Centre-Back,Defender,Wales,€10.00m,https://www.transfermarkt.us/ben-davies/profil/spieler/192765,ben-davies,192765,Premier League,https://img.a.transfermarkt.technology/portrait/header/192765-1668520095.jpg?lm=1
Destiny Udogie,22,Tottenham Hotspur,Left-Back,Defender,Italy,€45.00m,https://www.transfermarkt.us/destiny-udogie/profil/spieler/556385,destiny-udogie,556385,Premier League,https://img.a.transfermarkt.technology/portrait/header/556385-1697208468.jpg?lm=1
Sergio Reguilón,27,Tottenham Hotspur,Left-Back,Defender,Spain,€12.00m,https://www.transfermarkt.us/sergio-reguilon/profil/spieler/282429,sergio-reguilon,282429,Premier League,https://img.a.transfermarkt.technology/portrait/header/282429-1705521655.jpg?lm=1
Pedro Porro,25,Tottenham Hotspur,Right-Back,Defender,Spain,€45.00m,https://www.transfermarkt.us/pedro-porro/profil/spieler/553875,pedro-porro,553875,Premier League,https://img.a.transfermarkt.technology/portrait/header/553875-1730812390.jpg?lm=1
Archie Gray,18,Tottenham Hotspur,Right-Back,Defender,England,€25.00m,https://www.transfermarkt.us/archie-gray/profil/spieler/922693,archie-gray,922693,Premier League,https://img.a.transfermarkt.technology/portrait/header/922693-1695108880.jpg?lm=1
Djed Spence,24,Tottenham Hotspur,Right-Back,Defender,England,€8.00m,https://www.transfermarkt.us/djed-spence/profil/spieler/483348,djed-spence,483348,Premier League,https://img.a.transfermarkt.technology/portrait/header/483348-1596807960.jpg?lm=1
Yves Bissouma,28,Tottenham Hotspur,Defensive Midfield,Midfield,Mali,€35.00m,https://www.transfermarkt.us/yves-bissouma/profil/spieler/410425,yves-bissouma,410425,Premier League,https://img.a.transfermarkt.technology/portrait/header/410425-1665607355.jpg?lm=1
Rodrigo Bentancur,27,Tottenham Hotspur,Defensive Midfield,Midfield,Uruguay,€35.00m,https://www.transfermarkt.us/rodrigo-bentancur/profil/spieler/354362,rodrigo-bentancur,354362,Premier League,https://img.a.transfermarkt.technology/portrait/header/354362-1596001806.jpg?lm=1
Pape Matar Sarr,22,Tottenham Hotspur,Central Midfield,Midfield,Senegal,€45.00m,https://www.transfermarkt.us/pape-matar-sarr/profil/spieler/568693,pape-matar-sarr,568693,Premier League,https://img.a.transfermarkt.technology/portrait/header/568693-1668163083.jpg?lm=1
Lucas Bergvall,18,Tottenham Hotspur,Central Midfield,Midfield,Sweden,€12.00m,https://www.transfermarkt.us/lucas-bergvall/profil/spieler/866246,lucas-bergvall,866246,Premier League,https://img.a.transfermarkt.technology/portrait/header/866246-1701861399.jpg?lm=1
James Maddison,28,Tottenham Hotspur,Attacking Midfield,Midfield,England,€70.00m,https://www.transfermarkt.us/james-maddison/profil/spieler/294057,james-maddison,294057,Premier League,https://img.a.transfermarkt.technology/portrait/header/294057-1687982662.jpg?lm=1
Dejan Kulusevski,24,Tottenham Hotspur,Attacking Midfield,Midfield,Sweden,€55.00m,https://www.transfermarkt.us/dejan-kulusevski/profil/spieler/431755,dejan-kulusevski,431755,Premier League,https://img.a.transfermarkt.technology/portrait/header/431755-1684943454.jpg?lm=1
Heung-min Son,32,Tottenham Hotspur,Left Winger,Attack,"Korea, South",€45.00m,https://www.transfermarkt.us/heung-min-son/profil/spieler/91845,heung-min-son,91845,Premier League,https://img.a.transfermarkt.technology/portrait/header/91845-1669336455.jpg?lm=1
Timo Werner,28,Tottenham Hotspur,Left Winger,Attack,Germany,€17.00m,https://www.transfermarkt.us/timo-werner/profil/spieler/170527,timo-werner,170527,Premier League,https://img.a.transfermarkt.technology/portrait/header/170527-1663686137.jpg?lm=1
Mikey Moore,17,Tottenham Hotspur,Left Winger,Attack,England,€1.00m,https://www.transfermarkt.us/mikey-moore/profil/spieler/1011147,mikey-moore,1011147,Premier League,https://img.a.transfermarkt.technology/portrait/header/1011147-1716493553.jpg?lm=1
Brennan Johnson,23,Tottenham Hotspur,Right Winger,Attack,Wales,€48.00m,https://www.transfermarkt.us/brennan-johnson/profil/spieler/470607,brennan-johnson,470607,Premier League,https://img.a.transfermarkt.technology/portrait/header/470607-1692959021.jpg?lm=1
Wilson Odobert,20,Tottenham Hotspur,Right Winger,Attack,France,€18.00m,https://www.transfermarkt.us/wilson-odobert/profil/spieler/743498,wilson-odobert,743498,Premier League,https://img.a.transfermarkt.technology/portrait/header/743498-1672838670.jpg?lm=1
Dominic Solanke,27,Tottenham Hotspur,Centre-Forward,Attack,England,€45.00m,https://www.transfermarkt.us/dominic-solanke/profil/spieler/258889,dominic-solanke,258889,Premier League,https://img.a.transfermarkt.technology/portrait/header/258889-1708340487.jpg?lm=1
Richarlison,27,Tottenham Hotspur,Centre-Forward,Attack,Brazil,€35.00m,https://www.transfermarkt.us/richarlison/profil/spieler/378710,richarlison,378710,Premier League,https://img.a.transfermarkt.technology/portrait/header/378710-1665608231.jpg?lm=1
Will Lankshear,19,Tottenham Hotspur,Centre-Forward,Attack,England,€0.0m,https://www.transfermarkt.us/will-lankshear/profil/spieler/879768,will-lankshear,879768,Premier League,https://img.a.transfermarkt.technology/portrait/header/879768-1708346356.jpg?lm=1
Alphonse Areola,31,West Ham United,Goalkeeper,Goalkeeper,France,€10.00m,https://www.transfermarkt.us/alphonse-areola/profil/spieler/120629,alphonse-areola,120629,Premier League,https://img.a.transfermarkt.technology/portrait/header/120629-1663243036.jpg?lm=1
Wes Foderingham,33,West Ham United,Goalkeeper,Goalkeeper,England,€0.9m,https://www.transfermarkt.us/wes-foderingham/profil/spieler/61697,wes-foderingham,61697,Premier League,https://img.a.transfermarkt.technology/portrait/header/61697-1596446743.jpg?lm=1
Lukasz Fabianski,39,West Ham United,Goalkeeper,Goalkeeper,Poland,€0.7m,https://www.transfermarkt.us/lukasz-fabianski/profil/spieler/29692,lukasz-fabianski,29692,Premier League,https://img.a.transfermarkt.technology/portrait/header/29692-1685709486.jpg?lm=1
Maximilian Kilman,27,West Ham United,Centre-Back,Defender,England,€38.00m,https://www.transfermarkt.us/maximilian-kilman/profil/spieler/525247,maximilian-kilman,525247,Premier League,https://img.a.transfermarkt.technology/portrait/header/525247-1688370291.jpg?lm=1
Jean-Clair Todibo,24,West Ham United,Centre-Back,Defender,France,€35.00m,https://www.transfermarkt.us/jean-clair-todibo/profil/spieler/605184,jean-clair-todibo,605184,Premier League,https://img.a.transfermarkt.technology/portrait/header/605184-1699439806.jpg?lm=1
Konstantinos Mavropanos,26,West Ham United,Centre-Back,Defender,Greece,€20.00m,https://www.transfermarkt.us/konstantinos-mavropanos/profil/spieler/415912,konstantinos-mavropanos,415912,Premier League,https://img.a.transfermarkt.technology/portrait/header/415912-1691999569.jpg?lm=1
Kaelan Casey,20,West Ham United,Centre-Back,Defender,England,€1.00m,https://www.transfermarkt.us/kaelan-casey/profil/spieler/845321,kaelan-casey,845321,Premier League,https://img.a.transfermarkt.technology/portrait/header/845321-1709883861.jpg?lm=1
Emerson,30,West Ham United,Left-Back,Defender,Italy,€12.00m,https://www.transfermarkt.us/emerson/profil/spieler/181778,emerson,181778,Premier League,https://img.a.transfermarkt.technology/portrait/header/181778-1660636930.jpg?lm=1
Aaron Cresswell,34,West Ham United,Left-Back,Defender,England,€0.9m,https://www.transfermarkt.us/aaron-cresswell/profil/spieler/92571,aaron-cresswell,92571,Premier League,https://img.a.transfermarkt.technology/portrait/header/92571-1700670925.jpg?lm=1
Aaron Wan-Bissaka,27,West Ham United,Right-Back,Defender,England,€20.00m,https://www.transfermarkt.us/aaron-wan-bissaka/profil/spieler/477758,aaron-wan-bissaka,477758,Premier League,https://img.a.transfermarkt.technology/portrait/header/477758-1617030255.jpg?lm=1
Vladimír Coufal,32,West Ham United,Right-Back,Defender,Czech Republic,€8.00m,https://www.transfermarkt.us/vladimir-coufal/profil/spieler/157672,vladimir-coufal,157672,Premier League,https://img.a.transfermarkt.technology/portrait/header/157672-1667897675.jpg?lm=1
Edson Álvarez,27,West Ham United,Defensive Midfield,Midfield,Mexico,€35.00m,https://www.transfermarkt.us/edson-alvarez/profil/spieler/401356,edson-alvarez,401356,Premier League,https://img.a.transfermarkt.technology/portrait/header/401356-1698343328.jpeg?lm=1
Tomas Soucek,29,West Ham United,Defensive Midfield,Midfield,Czech Republic,€30.00m,https://www.transfermarkt.us/tomas-soucek/profil/spieler/283628,tomas-soucek,283628,Premier League,https://img.a.transfermarkt.technology/portrait/header/283628-1704184173.jpg?lm=1
Guido Rodríguez,30,West Ham United,Defensive Midfield,Midfield,Argentina,€20.00m,https://www.transfermarkt.us/guido-rodriguez/profil/spieler/342385,guido-rodriguez,342385,Premier League,https://img.a.transfermarkt.technology/portrait/header/342385-1668181269.jpg?lm=1
Carlos Soler,27,West Ham United,Central Midfield,Midfield,Spain,€20.00m,https://www.transfermarkt.us/carlos-soler/profil/spieler/372246,carlos-soler,372246,Premier League,https://img.a.transfermarkt.technology/portrait/header/372246-1662059930.jpg?lm=1
Andy Irving,24,West Ham United,Central Midfield,Midfield,Scotland,€2.00m,https://www.transfermarkt.us/andy-irving/profil/spieler/430310,andy-irving,430310,Premier League,https://img.a.transfermarkt.technology/portrait/header/430310-1692965140.png?lm=1
Lucas Paquetá,27,West Ham United,Attacking Midfield,Midfield,Brazil,€55.00m,https://www.transfermarkt.us/lucas-paqueta/profil/spieler/444523,lucas-paqueta,444523,Premier League,https://img.a.transfermarkt.technology/portrait/header/444523-1695370009.jpg?lm=1
Crysencio Summerville,23,West Ham United,Left Winger,Attack,Netherlands,€22.00m,https://www.transfermarkt.us/crysencio-summerville/profil/spieler/474701,crysencio-summerville,474701,Premier League,https://img.a.transfermarkt.technology/portrait/header/474701-1701683744.jpg?lm=1
Mohammed Kudus,24,West Ham United,Right Winger,Attack,Ghana,€50.00m,https://www.transfermarkt.us/mohammed-kudus/profil/spieler/543499,mohammed-kudus,543499,Premier League,https://img.a.transfermarkt.technology/portrait/header/543499-1668429218.jpg?lm=1
Jarrod Bowen,27,West Ham United,Right Winger,Attack,England,€50.00m,https://www.transfermarkt.us/jarrod-bowen/profil/spieler/314875,jarrod-bowen,314875,Premier League,https://img.a.transfermarkt.technology/portrait/header/314875-1662362005.jpg?lm=1
Luis Guilherme,18,West Ham United,Right Winger,Attack,Brazil,€24.00m,https://www.transfermarkt.us/luis-guilherme/profil/spieler/991800,luis-guilherme,991800,Premier League,https://img.a.transfermarkt.technology/portrait/header/991800-1676571608.jpg?lm=1
Niclas Füllkrug,31,West Ham United,Centre-Forward,Attack,Germany,€15.00m,https://www.transfermarkt.us/niclas-fullkrug/profil/spieler/75489,niclas-fullkrug,75489,Premier League,https://img.a.transfermarkt.technology/portrait/header/75489-1709560033.jpg?lm=1
Danny Ings,32,West Ham United,Centre-Forward,Attack,England,€8.00m,https://www.transfermarkt.us/danny-ings/profil/spieler/134294,danny-ings,134294,Premier League,https://img.a.transfermarkt.technology/portrait/header/134294-1674218597.jpg?lm=1
Michail Antonio,34,West Ham United,Centre-Forward,Attack,Jamaica,€4.00m,https://www.transfermarkt.us/michail-antonio/profil/spieler/104124,michail-antonio,104124,Premier League,https://img.a.transfermarkt.technology/portrait/header/104124-1709884222.jpg?lm=1
José Sá,31,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,Portugal,€10.00m,https://www.transfermarkt.us/jose-sa/profil/spieler/249994,jose-sa,249994,Premier League,https://img.a.transfermarkt.technology/portrait/header/249994-1696600015.jpg?lm=1
Sam Johnstone,31,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,England,€10.00m,https://www.transfermarkt.us/sam-johnstone/profil/spieler/110864,sam-johnstone,110864,Premier League,https://img.a.transfermarkt.technology/portrait/header/110864-1672915792.jpg?lm=1
Daniel Bentley,31,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,England,€2.00m,https://www.transfermarkt.us/daniel-bentley/profil/spieler/136401,daniel-bentley,136401,Premier League,https://img.a.transfermarkt.technology/portrait/header/136401-1700737411.jpg?lm=1
Tom King,29,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,Wales,€0.2m,https://www.transfermarkt.us/tom-king/profil/spieler/215810,tom-king,215810,Premier League,https://img.a.transfermarkt.technology/portrait/header/215810-1621592912.jpg?lm=1
Toti,25,Wolverhampton Wanderers,Centre-Back,Defender,Portugal,€20.00m,https://www.transfermarkt.us/toti/profil/spieler/606718,toti,606718,Premier League,https://img.a.transfermarkt.technology/portrait/header/606718-1630733935.jpg?lm=1
Santiago Bueno,26,Wolverhampton Wanderers,Centre-Back,Defender,Uruguay,€8.00m,https://www.transfermarkt.us/santiago-bueno/profil/spieler/438001,santiago-bueno,438001,Premier League,https://img.a.transfermarkt.technology/portrait/header/438001-1567158917.jpg?lm=1
Yerson Mosquera,23,Wolverhampton Wanderers,Centre-Back,Defender,Colombia,€6.00m,https://www.transfermarkt.us/yerson-mosquera/profil/spieler/716276,yerson-mosquera,716276,Premier League,https://img.a.transfermarkt.technology/portrait/header/716276-1682874906.jpg?lm=1
Bastien Meupiyou,18,Wolverhampton Wanderers,Centre-Back,Defender,France,€2.50m,https://www.transfermarkt.us/bastien-meupiyou/profil/spieler/955253,bastien-meupiyou,955253,Premier League,https://img.a.transfermarkt.technology/portrait/header/955253-1703065461.jpg?lm=1
Craig Dawson,34,Wolverhampton Wanderers,Centre-Back,Defender,England,€2.00m,https://www.transfermarkt.us/craig-dawson/profil/spieler/121477,craig-dawson,121477,Premier League,https://img.a.transfermarkt.technology/portrait/header/121477-1700673087.jpg?lm=1
Rayan Aït-Nouri,23,Wolverhampton Wanderers,Left-Back,Defender,Algeria,€35.00m,https://www.transfermarkt.us/rayan-ait-nouri/profil/spieler/578391,rayan-ait-nouri,578391,Premier League,https://img.a.transfermarkt.technology/portrait/header/578391-1695656762.jpg?lm=1
Nélson Semedo,31,Wolverhampton Wanderers,Right-Back,Defender,Portugal,€12.00m,https://www.transfermarkt.us/nelson-semedo/profil/spieler/231572,nelson-semedo,231572,Premier League,https://img.a.transfermarkt.technology/portrait/header/231572-1684487147.jpg?lm=1
Pedro Lima,18,Wolverhampton Wanderers,Right-Back,Defender,Brazil,€5.00m,https://www.transfermarkt.us/pedro-lima/profil/spieler/1193867,pedro-lima,1193867,Premier League,https://img.a.transfermarkt.technology/portrait/header/1193867-1710156658.jpg?lm=1
Matt Doherty,32,Wolverhampton Wanderers,Right-Back,Defender,Ireland,€3.00m,https://www.transfermarkt.us/matt-doherty/profil/spieler/171679,matt-doherty,171679,Premier League,https://img.a.transfermarkt.technology/portrait/header/171679-1682598455.jpg?lm=1
André,23,Wolverhampton Wanderers,Defensive Midfield,Midfield,Brazil,€25.00m,https://www.transfermarkt.us/andre/profil/spieler/800176,andre,800176,Premier League,https://img.a.transfermarkt.technology/portrait/header/800176-1699348390.jpg?lm=1
